Time,S_true,I_true,R_true,I_observation,S_est,I_est,R_est,U_est,beta_est,beta_true,u_actual,time_ode_used,loss_ode
0,0.999,0.001,0,0,0.9847129583358765,0.0013072311412543058,0.013979792594909668,1.1950270391025697e-06,0.5802614092826843,0.6000000000000001,0,0,0
1,0.998263535689069,0.0014906397596852197,0.0002458245512457344,0.001,0.9838077425956726,0.001894898945465684,0.01429736614227295,1.0216230066362186e-06,0.5802614092826843,0.6000000000000001,0,0,0
2,0.9971670712004179,0.0022207790103248963,0.0006121497892572263,0.005,0.9824977517127991,0.0027447647880762815,0.01475745439529419,9.071048907571821e-07,0.5802614092826843,0.6000000000000001,0,0,0
3,0.9955364238165127,0.0033058865773277946,0.0011576896061595478,0.005,0.9806023240089417,0.003973847255110741,0.015423834323883057,8.279813528133673e-07,0.5802614092826843,0.6000000000000001,0,0,0
4,0.9931154268490195,0.004915278491826474,0.0019692946591541114,0.006,0.9778686761856079,0.005744237918406725,0.016387104988098145,7.712690717198711e-07,0.5802614092826843,0.6000000000000001,0,0,0
5,0.9895298936530811,0.007295169643296156,0.003174936703622988,0.008,0.9739388227462769,0.008287212811410427,0.017773985862731934,7.293725161616749e-07,0.5802614092826843,0.6000000000000001,0,0,0
6,0.9842391133892079,0.010798911711131703,0.004961974899660631,0.008,0.96830815076828,0.011922215111553669,0.019769608974456787,6.976213740017556e-07,0.5802614092826843,0.6000000000000001,0,0,0
7,0.9764741634781718,0.015923661222368223,0.007602175299460097,0.019,0.9602802395820618,0.017083972692489624,0.02263575792312622,6.730325026182982e-07,0.5802614092826843,0.6000000000000001,0,0,0
8,0.9651678140728802,0.023347900693781738,0.011484285233338287,0.027,0.9489231109619141,0.02434317208826542,0.026733696460723877,6.536295131809311e-07,0.5802614092826843,0.6000000000000001,0,0,0
9,0.9488926716646019,0.03395427275965303,0.01715305557574527,0.032,0.933037281036377,0.0344146192073822,0.03254806995391846,6.38068172520434e-07,0.5802614092826843,0.6000000000000001,0,0,0
10,0.9258466335654217,0.048804605353306635,0.025348761081271886,0.049,0.9111506938934326,0.048125606030225754,0.04072368144989014,0.12171797454357147,0.5802614092826843,0.6000000000000001,0.12194752160275435,1725.7794744968414,3.78143061881105e-06
11,0.8958948703121119,0.061110675001516575,0.04299445468637161,0.07,0.8606237769126892,0.06501927971839905,0.07435697317123413,0.1215563416481018,0.6432579159736633,0.6000000000000001,0.12194752160275435,0,0
12,0.8601027611456559,0.07502580049475364,0.06487143835959064,0.082,0.821239709854126,0.08102624118328094,0.09773403406143188,0.12110588699579239,0.6432579159736633,0.6000000000000001,0.12194752160275435,0,0
13,0.8185862775630617,0.08999606370461102,0.09141765873232738,0.099,0.7752894163131714,0.09824230521917343,0.12646830081939697,0.1221517026424408,0.6432579159736633,0.6000000000000001,0.12194752160275435,0,0
14,0.7720284404796178,0.10513321900243826,0.12283834051794405,0.107,0.7239483594894409,0.11493832617998123,0.16111332178115845,0.1212901622056961,0.6432579159736633,0.6000000000000001,0.12194752160275435,0,0
15,0.7217036433236241,0.1192889302333575,0.15900742644301835,0.145,0.6678332090377808,0.13920612633228302,0.1929606795310974,0.365754097700119,0.6432579159736633,0.6000000000000001,0.4000000099820904,1759.225138425827,2.584690957466397e-05
16,0.6758722591484502,0.0995097910203711,0.22461794983117866,0.106,0.7138785719871521,2.6812932318875937e-08,0.2861214280128479,0.43952465057373047,0.8871120810508728,0.6000000000000001,0.4000000099820904,0,0
17,0.6403022860556794,0.08101603408480888,0.2786816798595119,0.099,0.7138649821281433,2.6728733004688365e-08,0.2861350178718567,0.43819910287857056,0.8871120810508728,0.6000000000000001,0.4000000099820904,0,0
18,0.6129840280955775,0.06473276229677247,0.32228320960765033,0.064,0.7138573527336121,2.665206544349985e-08,0.28614264726638794,0.40032759308815,0.8871120810508728,0.6000000000000001,0.4000000099820904,0,0
19,0.5921451132323422,0.05098451476289647,0.35687037200476174,0.057,0.7138553261756897,2.6582005929753905e-08,0.2861446738243103,0.292816698551178,0.8871120810508728,0.6000000000000001,0.4000000099820904,0,0
20,0.576318038841987,0.03971950912324189,0.3839624520347716,0.046,0.7138586640357971,2.6517946949411453e-08,0.2861413359642029,0.048617951571941376,0.8871120810508728,0.6000000000000001,-9.98E-09,1753.0406799316406,3.788093647712874e-12
21,0.5617409293960371,0.045756977942356954,0.3925020926616065,0.045,0.9032865166664124,1.944673577725098e-08,0.09671348333358765,0.013023032806813717,0.8516613245010376,0.6000000000000001,-9.98E-09,0,0
22,0.5454791439824804,0.05222669318230871,0.4022941628352113,0.05,0.9032874703407288,1.9409901241829175e-08,0.09671252965927124,0.008763636462390423,0.8516613245010376,0.6000000000000001,-9.98E-09,0,0
23,0.5275834782938026,0.05900320066421228,0.4134133210419856,0.063,0.9032896757125854,1.9376610538301975e-08,0.09671032428741455,0.007697234861552715,0.8516613245010376,0.6000000000000001,-9.98E-09,0,0
24,0.508178668233422,0.06591667411130554,0.425904657655273,0.061,0.9032931327819824,1.9346366286754346e-08,0.09670686721801758,0.0074582635425031185,0.8516613245010376,0.6000000000000001,-9.98E-09,0,0
25,0.4874663522375315,0.07275838502478557,0.4397752627376833,0.078,0.9032979011535645,1.9318967758863437e-08,0.09670209884643555,0.009062357246875763,0.8516613245010376,0.6000000000000001,0.019294145725755517,1748.3073959350586,1.0317805642999436e-11
26,0.4659263965281619,0.07778052606254687,0.4562930774092916,0.077,0.9555045366287231,1.671381610890421e-08,0.044495463371276855,0.009366750717163086,0.8877409100532532,0.6000000000000001,0.019294145725755517,0,0
27,0.4440915537427989,0.08207296227889686,0.4738354839783045,0.075,0.9555047750473022,1.6689096327127118e-08,0.044495224952697754,0.00971969123929739,0.8877409100532532,0.6000000000000001,0.019294145725755517,0,0
28,0.4223010578685262,0.0854748173964138,0.4922241247350604,0.095,0.9555050730705261,1.6666447777424764e-08,0.04449492692947388,0.010124369524419308,0.8877409100532532,0.6000000000000001,0.019294145725755517,0,0
29,0.4008801965935417,0.08786977665400998,0.5112500267524487,0.09,0.9555053114891052,1.664560755898492e-08,0.044494688510894775,0.010586279444396496,0.8877409100532532,0.6000000000000001,0.019294145725755517,0,0
30,0.38012077271493205,0.08919477394633897,0.5306844533387296,0.088,0.9555054903030396,1.662647441946774e-08,0.04449450969696045,0.02906123735010624,0.8877409100532532,0.6000000000000001,0.04771982914501092,1897.6513872146606,8.739857356853486e-11
31,0.360538792882684,0.08694046309470535,0.5525207440226114,0.071,0.9153395891189575,1.781179825854906e-08,0.08466041088104248,0.03130866959691048,0.8977563977241516,0.6000000000000001,0.04771982914501092,0,0
32,0.3425231814664005,0.08379243821484601,0.5736843803187544,0.091,0.9153459668159485,1.7796585538576437e-08,0.08465403318405151,0.0334649495780468,0.8977563977241516,0.6000000000000001,0.04771982914501092,0,0
33,0.3260960340775949,0.0799282465548969,0.593975719367509,0.074,0.9153534770011902,1.778297864518663e-08,0.08464652299880981,0.03554002568125725,0.8977563977241516,0.6000000000000001,0.04771982914501092,0,0
34,0.3112300251702535,0.07553002561417242,0.613239949215575,0.082,0.9153623580932617,1.7770771520986273e-08,0.08463764190673828,0.037544768303632736,0.8977563977241516,0.6000000000000001,0.04771982914501092,0,0
35,0.2978612731411925,0.07077208821874752,0.6313666386400607,0.062,0.9153724312782288,1.7759928638838574e-08,0.08462756872177124,0.3038787543773651,0.8977563977241516,0.6000000000000001,0.40000000966305516,1660.1559252738953,1.2443616281826758e-11
36,0.2877264255112277,0.04628923219173074,0.6659843422970423,0.056,0.9228411316871643,2.6672610786704354e-08,0.0771588683128357,0.41155728697776794,0.6931912899017334,0.6000000000000001,0.40000000966305516,0,0
37,0.28130049517534644,0.03012854073738329,0.6885709640872715,0.031,0.9228427410125732,2.665760767683878e-08,0.07715725898742676,0.4273410439491272,0.6931912899017334,0.6000000000000001,0.40000000966305516,0,0
38,0.2772016588427765,0.019549162793633418,0.7032491783635912,0.029,0.9228440523147583,2.664347498182451e-08,0.0771559476852417,0.3649192154407501,0.6931912899017334,0.6000000000000001,0.40000000966305516,0,0
39,0.27457669670840934,0.012659504977730978,0.7127637983138609,0.019,0.9228450059890747,2.6630317506715073e-08,0.07715499401092529,0.25768792629241943,0.6931912899017334,0.6000000000000001,0.40000000966305516,0,0
40,0.2728911899542716,0.0081875308572802,0.7189212791884494,0.005,0.9228456020355225,2.661782438906357e-08,0.07715439796447754,0.1524927020072937,0.6931912899017334,0.6000000000000001,0,0,0
41,0.2715779509157602,0.007892802091364729,0.7205292469928762,0.005,0.9228458404541016,2.660625142425488e-08,0.07715415954589844,0.08241569250822067,0.6931912899017334,0.6000000000000001,0,0,0
42,0.2703184522238362,0.00760281251979868,0.7220787352563661,0.006,0.9228456020355225,2.6595394331252464e-08,0.07715439796447754,0.045889995992183685,0.6931912899017334,0.6000000000000001,0,0,0
43,0.2691111975420411,0.007318059945097508,0.7235707425128625,0.011,0.9228450059890747,2.6585150081359643e-08,0.07715499401092529,0.028353754431009293,0.6931912899017334,0.6000000000000001,0,0,0
44,0.26795466043081695,0.007038979051970896,0.7250063605172133,0.003,0.9228439927101135,2.6575516898219576e-08,0.07715600728988647,0.019688649103045464,0.6931912899017334,0.6000000000000001,0,0,0
45,0.26684729365633325,0.00676594442736546,0.7263867619163024,0.008,0.9228425025939941,2.656664754852045e-08,0.07715749740600586,0.015077336691319942,0.6931912899017334,0.6000000000000001,0,0,0
46,0.26578753764906443,0.006499273803495924,0.7277131885474408,0.004,0.9228405356407166,2.655823827524273e-08,0.07715946435928345,0.012416064739227295,0.6931912899017334,0.6000000000000001,0,0,0
47,0.2647738281421981,0.006239231455678857,0.7289869404021244,0.011,0.9228381514549255,2.6550438292360923e-08,0.07716184854507446,0.01076366938650608,0.6931912899017334,0.6000000000000001,0,0,0
48,0.2638046030252701,0.005986031694598799,0.7302093652801324,0.008,0.9228352904319763,2.654309660954368e-08,0.07716470956802368,0.009672426618635654,0.6931912899017334,0.6000000000000001,0,0,0
49,0.26287830845237364,0.005739842400139475,0.7313818491474882,0.008,0.9228320121765137,2.653626296478251e-08,0.07716798782348633,0.008914226666092873,0.6931912899017334,0.6000000000000001,0,0,0
50,0.26199340424702755,0.005500788551080909,0.7325058072018927,0.01,0.9228282570838928,2.6529935581720565e-08,0.07717174291610718,0.008365112356841564,0.6931912899017334,0.6000000000000001,0,1649.7132804393768,3.420921566864888e-11
